ID,Trinket Name,Emoji,Ability,Rarity,,Stats,
three,The Number 3,number 3,"I give 13 points each spin. If your final number is divisible by 3, permanently increase the points I give by 13.",Uncommon,,,
fortunecookie,Fortune Cookie,fortune cookie,Doubles your points if you have no 4s and have at least one 8.,Rare,,,
snail,Snail,snail,"If you don't meet the goal after a spin, gain a random common or uncommon trinket.",Uncommon,,,
fiver,Fiver,dollar bill,Score 25 points if your number is divisible by 5.,Common,,,
zero,Goose Egg,egg,Score 12 points for every zero.,Common,,,
monocle,Monocle,face with monocle,"If you only have 1 unique digit in your final number, score 700 points.",Legendary,,,
elevator,Elevator,elevator,"If all your numbers are strictly increasing or decreasing, score 100 points.",Common,,,
wrench,Wrench,wrench,Tools are 50% cheaper.,Uncommon,,,
screwdriver,Screwdriver,screwdriver,Tool upgrades are 50% cheaper.,Uncommon,,,
constructionworker,Construction Worker,construction worker,"After each spin, gain a random tool upgrade.",Legendary,,,
technologist,Technologist,technologist,"After each spin, gain a random tool.",Legendary,,,
cartwheel,Cartwheeler,cartwheeler,Reroll tools have +5 uses each spin.,Rare,,,
package,Mysterious Package,package,Replace all your other trinkets with ones that are one rarity higher.,Rare,,,
bank,Bank,bank,Gain 10% interest when you enter a shop.,Common,,,
moai,Moai,moai,Picks a new favorite number when you spin. Multiplies your points this round by 2 EVERY time it scores its favorite number.,Legendary,,,
relaxedface,Relaxed Face,relaxed face,Scores +24 points no matter what you spin.,Common,,,
blackjack,Blackjack,spade,"If your numbers sum to 21, triple your score this round.",Common,,,
fullhouse,Full House,house,Double your score this round if you have three of the same digit and two or more of a different digit.,Common,,,
family,The Family,family,Score 10 times the sum of all your digits.,Rare,,,
bean,Bean Counter,bean,"Score 1 point for each 1, then increase the number of points I score by 5.",Common,,,
dragon,Dragon,dragon,Scores +10 points each spin for each trinket you have.,Common,,,
wheel,Wheel,wheel,Shop rerolls cost 1 less.,Common,,,
pairofeyes,Pair of Eyes,eyes,"If you have two zeroes that aren't next to each other, score 21 times your highest digit.",Rare,,,

bicycle,Bicycle,bicycle,Rerolls cost 2 less.,Uncommon,5,Common
apple,Apple,apple,Scores 10 points for each pair of numbers you have that sum to 10.,Common,2,Uncommon
clover,Four-Leaf Clover,four leaf clover,Doubles your chance of rolling a 7.,Common,7,Rare
octopus,Octopus,octopus,"When I see an 8, gain $8.",Common,2,Legendary
yinyang,Yin & Yang,yinyang,Scores 88 points if you have an equal number of odd and even numbers.,Uncommon,,
printer,Printer,printer,Every shop adds a copy of one of your trinkets at double price for sale.,Legendary,,
checkered-flag,Checkered Flag,checkered flag,"If you don't meet the goal, gain enough points to meet it.",Rare,,
hammer,Hammer,hammer,Shops have one more tool upgrade.,Rare,,
backpack,Backpack,backpack,Shops have one more trinket.,Rare,,
new moon,New Moon,new moon face,Multiplies your score by 10 for every grey slot.,Legendary,,
bug,Bug,bug,What did you do? (Scores for 2560 points),Fallback,,
mechanical-arm,Mechanical Arm,mechanical arm,Tool upgrades are much more likely to be Rare or Legendary.,Rare,,
robot,Robot,robot,"Scores 101 (5) points every spin. When Robot sees a 0 or 1, increase the points this gives by 1.",Common,,
devil,Devil,smiling imp,Scores 666 points when you score 3 consecutive 6s.,Rare,,
no-tools,No Tools!,person gesturing no,"If you didn't use any tools this round, score 120 points.",Common,,
test-tube,Replication Experiment,test tube,Gain a copy of a random trinket.,Rare,,
alembic,Novel Experiment,alembic,Gain a random trinket.,Rare,,
